sampleID,Project
323752_MG,LSVF
323756_MG,LSVF
323757_MG,LSVF
323758_MG,LSVF
323760_MG,LSVF
323761_MG,LSVF
323762_MG,LSVF
323763_MG,LSVF
323766_MG,LSVF
323767_MG,LSVF
323769_MG,LSVF
323770_MG,LSVF
323773_MG,LSVF
323774_MG,LSVF
323775_MG,LSVF
323781_MG,LSVF
323783_MG,LSVF
323784_MG,LSVF
323785_MG,LSVF
323789_MG,LSVF
323790_MG,LSVF
323791_MG,LSVF
323793_MG,LSVF
323795_MG,LSVF
323796_MG,LSVF
323805_MG,LSVF
323806_MG,LSVF
323810_MG,LSVF
323812_MG,LSVF
323813_MG,LSVF
323816_MG,LSVF
323819_MG,LSVF
323823_MG,LSVF
323824_MG,LSVF
323825_MG,LSVF
323829_MG,LSVF
323830_MG,LSVF
323840_MG,LSVF
323843_MG,LSVF
323853_MG,LSVF
323854_MG,LSVF
323858_MG,LSVF
323864_MG,LSVF
323865_MG,LSVF
323873_MG,LSVF
323875_MG,LSVF
323876_MG,LSVF
323877_MG,LSVF
323878_MG,LSVF
323880_MG,LSVF
323881_MG,LSVF
323884_MG,LSVF
323886_MG,LSVF
323887_MG,LSVF
323888_MG,LSVF
323890_MG,LSVF
323891_MG,LSVF
323892_MG,LSVF
323893_MG,LSVF
323894_MG,LSVF
323896_MG,LSVF
323897_MG,LSVF
323898_MG,LSVF
323900_MG,LSVF
342278_MG,LSVF
342282_MG,LSVF
342290_MG,LSVF
342294_MG,LSVF
342295_MG,LSVF
342298_MG,LSVF
342300_MG,LSVF
342302_MG,LSVF
342305_MG,LSVF
342306_MG,LSVF
342310_MG,LSVF
342312_MG,LSVF
342315_MG,LSVF
342317_MG,LSVF
342324_MG,LSVF
342326_MG,LSVF
342328_MG,LSVF
342330_MG,LSVF
342333_MG,LSVF
342334_MG,LSVF
342341_MG,LSVF
342343_MG,LSVF
342345_MG,LSVF
342350_MG,LSVF
342351_MG,LSVF
342355_MG,LSVF
342359_MG,LSVF
342363_MG,LSVF
342367_MG,LSVF
342368_MG,LSVF
342377_MG,LSVF
342381_MG,LSVF
342385_MG,LSVF
342386_MG,LSVF
342387_MG,LSVF
342391_MG,LSVF
342395_MG,LSVF
342396_MG,LSVF
342404_MG,LSVF
342408_MG,LSVF
342414_MG,LSVF
342416_MG,LSVF
342419_MG,LSVF
342420_MG,LSVF
342424_MG,LSVF
342427_MG,LSVF
342429_MG,LSVF
342433_MG,LSVF
342434_MG,LSVF
342438_MG,LSVF
342449_MG,LSVF
342450_MG,LSVF
342461_MG,LSVF
342464_MG,LSVF
342466_MG,LSVF
342469_MG,LSVF
342474_MG,LSVF
342476_MG,LSVF
342480_MG,LSVF
342482_MG,LSVF
342484_MG,LSVF
342487_MG,LSVF
342489_MG,LSVF
342491_MG,LSVF
342495_MG,LSVF
342496_MG,LSVF
342498_MG,LSVF
342501_MG,LSVF
342502_MG,LSVF
342504_MG,LSVF
342506_MG,LSVF
342509_MG,LSVF
342511_MG,LSVF
342514_MG,LSVF
342520_MG,LSVF
342521_MG,LSVF
342522_MG,LSVF
342526_MG,LSVF
342528_MG,LSVF
342533_MG,LSVF
342536_MG,LSVF
342538_MG,LSVF
342546_MG,LSVF
342548_MG,LSVF
342551_MG,LSVF
342552_MG,LSVF
342556_MG,LSVF
342560_MG,LSVF
342561_MG,LSVF
342564_MG,LSVF
342566_MG,LSVF
342567_MG,LSVF
342571_MG,LSVF
342574_MG,LSVF
342578_MG,LSVF
342587_MG,LSVF
342591_MG,LSVF
342592_MG,LSVF
342594_MG,LSVF
342600_MG,LSVF
342602_MG,LSVF
342606_MG,LSVF
342609_MG,LSVF
342610_MG,LSVF
342619_MG,LSVF
342621_MG,LSVF
342627_MG,LSVF
342630_MG,LSVF
342632_MG,LSVF
342636_MG,LSVF
342637_MG,LSVF
342639_MG,LSVF
342642_MG,LSVF
342646_MG,LSVF
342647_MG,LSVF
342649_MG,LSVF
342652_MG,LSVF
342655_MG,LSVF
342657_MG,LSVF
342660_MG,LSVF
342662_MG,LSVF
342663_MG,LSVF
342666_MG,LSVF
342668_MG,LSVF
342671_MG,LSVF
342674_MG,LSVF
342681_MG,LSVF
342682_MG,LSVF
342689_MG,LSVF
342693_MG,LSVF
342694_MG,LSVF
342697_MG,LSVF
342699_MG,LSVF
342703_MG,LSVF
342704_MG,LSVF
342707_MG,LSVF
342709_MG,LSVF
342711_MG,LSVF
342714_MG,LSVF
342717_MG,LSVF
342718_MG,LSVF
342722_MG,LSVF
342724_MG,LSVF
342727_MG,LSVF
342730_MG,LSVF
342737_MG,LSVF
342738_MG,LSVF
342742_MG,LSVF
342746_MG,LSVF
342747_MG,LSVF
342751_MG,LSVF
342752_MG,LSVF
342756_MG,LSVF
342757_MG,LSVF
342758_MG,LSVF
342762_MG,LSVF
342764_MG,LSVF
342767_MG,LSVF
342769_MG,LSVF
342772_MG,LSVF
342774_MG,LSVF
342777_MG,LSVF
342781_MG,LSVF
342784_MG,LSVF
342785_MG,LSVF
342789_MG,LSVF
342790_MG,LSVF
342794_MG,LSVF
342800_MG,LSVF
342802_MG,LSVF
342807_MG,LSVF
342810_MG,LSVF
342813_MG,LSVF
342815_MG,LSVF
342816_MG,LSVF
342820_MG,LSVF
342821_MG,LSVF
342825_MG,LSVF
342826_MG,LSVF
342830_MG,LSVF
342834_MG,LSVF
342835_MG,LSVF
342839_MG,LSVF
342840_MG,LSVF
342843_MG,LSVF
342844_MG,LSVF
342848_MG,LSVF
342850_MG,LSVF
342858_MG,LSVF
342860_MG,LSVF
342863_MG,LSVF
342864_MG,LSVF
342868_MG,LSVF
342872_MG,LSVF
342873_MG,LSVF
342875_MG,LSVF
342880_MG,LSVF
342881_MG,LSVF
342884_MG,LSVF
342886_MG,LSVF
342887_MG,LSVF
342891_MG,LSVF
342895_MG,LSVF
342896_MG,LSVF
342898_MG,LSVF
342901_MG,LSVF
342902_MG,LSVF
342906_MG,LSVF
342909_MG,LSVF
342911_MG,LSVF
342913_MG,LSVF
342916_MG,LSVF
342919_MG,LSVF
342920_MG,LSVF
342922_MG,LSVF
342925_MG,LSVF
342926_MG,LSVF
342930_MG,LSVF
342931_MG,LSVF
342933_MG,LSVF
342934_MG,LSVF
342938_MG,LSVF
342941_MG,LSVF
342942_MG,LSVF
342943_MG,LSVF
342947_MG,LSVF
342948_MG,LSVF
342955_MG,LSVF
342958_MG,LSVF
342964_MG,LSVF
342969_MG,LSVF
342972_MG,LSVF
342978_MG,LSVF
342982_MG,LSVF
342986_MG,LSVF
342987_MG,LSVF
342991_MG,LSVF
342994_MG,LSVF
342997_MG,LSVF
343000_MG,LSVF
343002_MG,LSVF
343003_MG,LSVF
343007_MG,LSVF
343010_MG,LSVF
343018_MG,LSVF
343019_MG,LSVF
343021_MG,LSVF
343024_MG,LSVF
343028_MG,LSVF
343029_MG,LSVF
343031_MG,LSVF
343033_MG,LSVF
343034_MG,LSVF
343038_MG,LSVF
343042_MG,LSVF
343043_MG,LSVF
343046_MG,LSVF
343048_MG,LSVF
343049_MG,LSVF
343053_MG,LSVF
343057_MG,LSVF
343058_MG,LSVF
343060_MG,LSVF
343063_MG,LSVF
343067_MG,LSVF
343068_MG,LSVF
343071_MG,LSVF
343075_MG,LSVF
343076_MG,LSVF
343078_MG,LSVF
343081_MG,LSVF
343083_MG,LSVF
343086_MG,LSVF
343089_MG,LSVF
343094_MG,LSVF
343098_MG,LSVF
343099_MG,LSVF
343101_MG,LSVF
343104_MG,LSVF
343107_MG,LSVF
343109_MG,LSVF
343111_MG,LSVF
343114_MG,LSVF
343117_MG,LSVF
343119_MG,LSVF
343123_MG,LSVF
343124_MG,LSVF
343128_MG,LSVF
343129_MG,LSVF
343131_MG,LSVF
343134_MG,LSVF
343138_MG,LSVF
343139_MG,LSVF
343140_MG,LSVF
343145_MG,LSVF
343147_MG,LSVF
343150_MG,LSVF
343153_MG,LSVF
343155_MG,LSVF
343156_MG,LSVF
343160_MG,LSVF
343163_MG,LSVF
343165_MG,LSVF
343167_MG,LSVF
343173_MG,LSVF
343177_MG,LSVF
343178_MG,LSVF
343180_MG,LSVF
343183_MG,LSVF
343185_MG,LSVF
343188_MG,LSVF
343192_MG,LSVF
343193_MG,LSVF
343195_MG,LSVF
343198_MG,LSVF
343200_MG,LSVF
343203_MG,LSVF
343205_MG,LSVF
343208_MG,LSVF
343209_MG,LSVF
343213_MG,LSVF
343215_MG,LSVF
343218_MG,LSVF
343222_MG,LSVF
343223_MG,LSVF
343225_MG,LSVF
343233_MG,LSVF
343234_MG,LSVF
343238_MG,LSVF
343239_MG,LSVF
343243_MG,LSVF
343246_MG,LSVF
343255_MG,LSVF
343256_MG,LSVF
343258_MG,LSVF
343261_MG,LSVF
343264_MG,LSVF
343266_MG,LSVF
343269_MG,LSVF
343271_MG,LSVF
343275_MG,LSVF
343276_MG,LSVF
343278_MG,LSVF
343281_MG,LSVF
343283_MG,LSVF
343286_MG,LSVF
343287_MG,LSVF
343291_MG,LSVF
343292_MG,LSVF
343301_MG,LSVF
343302_MG,LSVF
343306_MG,LSVF
343309_MG,LSVF
343311_MG,LSVF
343314_MG,LSVF
343318_MG,LSVF
343319_MG,LSVF
343322_MG,LSVF
343324_MG,LSVF
343328_MG,LSVF
343332_MG,LSVF
343335_MG,LSVF
343337_MG,LSVF
343339_MG,LSVF
343342_MG,LSVF
343345_MG,LSVF
343347_MG,LSVF
343349_MG,LSVF
343352_MG,LSVF
343356_MG,LSVF
343357_MG,LSVF
343360_MG,LSVF
343363_MG,LSVF
343365_MG,LSVF
343368_MG,LSVF
343370_MG,LSVF
343373_MG,LSVF
343377_MG,LSVF
343378_MG,LSVF
343381_MG,LSVF
343388_MG,LSVF
343389_MG,LSVF
343393_MG,LSVF
343396_MG,LSVF
343398_MG,LSVF
343401_MG,LSVF
343402_MG,LSVF
343406_MG,LSVF
343409_MG,LSVF
343411_MG,LSVF
343415_MG,LSVF
343416_MG,LSVF
343418_MG,LSVF
343422_MG,LSVF
343424_MG,LSVF
343425_MG,LSVF
343432_MG,LSVF
343434_MG,LSVF
343435_MG,LSVF
343439_MG,LSVF
343442_MG,LSVF
343444_MG,LSVF
343446_MG,LSVF
343449_MG,LSVF
343452_MG,LSVF
343454_MG,LSVF
343457_MG,LSVF
343459_MG,LSVF
343463_MG,LSVF
343464_MG,LSVF
343466_MG,LSVF
343469_MG,LSVF
343471_MG,LSVF
343474_MG,LSVF
343477_MG,LSVF
343479_MG,LSVF
343483_MG,LSVF
343489_MG,LSVF
343493_MG,LSVF
343494_MG,LSVF
343498_MG,LSVF
343499_MG,LSVF
343500_MG,LSVF
343504_MG,LSVF
343506_MG,LSVF
343509_MG,LSVF
343511_MG,LSVF
343514_MG,LSVF
343517_MG,LSVF
343520_MG,LSVF
343522_MG,LSVF
343524_MG,LSVF
343532_MG,LSVF
343534_MG,LSVF
343540_MG,LSVF
343543_MG,LSVF
343545_MG,LSVF
343547_MG,LSVF
343550_MG,LSVF
343554_MG,LSVF
343555_MG,LSVF
343557_MG,LSVF
343560_MG,LSVF
343563_MG,LSVF
343570_MG,LSVF
343574_MG,LSVF
343576_MG,LSVF
343578_MG,LSVF
343581_MG,LSVF
343583_MG,LSVF
343586_MG,LSVF
343588_MG,LSVF
343592_MG,LSVF
343593_MG,LSVF
343594_MG,LSVF
343598_MG,LSVF
343599_MG,LSVF
343603_MG,LSVF
343606_MG,LSVF
343608_MG,LSVF
343612_MG,LSVF
343613_MG,LSVF
343616_MG,LSVF
343618_MG,LSVF
343619_MG,LSVF
343623_MG,LSVF
343625_MG,LSVF
343628_MG,LSVF
343629_MG,LSVF
343633_MG,LSVF
343636_MG,LSVF
343638_MG,LSVF
343640_MG,LSVF
343643_MG,LSVF
343647_MG,LSVF
343648_MG,LSVF
343651_MG,LSVF
343653_MG,LSVF
343654_MG,LSVF
343661_MG,LSVF
343664_MG,LSVF
343666_MG,LSVF
343669_MG,LSVF
343671_MG,LSVF
343672_MG,LSVF
343676_MG,LSVF
343677_MG,LSVF
343681_MG,LSVF
343683_MG,LSVF
343686_MG,LSVF
343688_MG,LSVF
343691_MG,LSVF
343694_MG,LSVF
343695_MG,LSVF
343699_MG,LSVF
343701_MG,LSVF
343704_MG,LSVF
343707_MG,LSVF
343709_MG,LSVF
343712_MG,LSVF
343714_MG,LSVF
343716_MG,LSVF
343719_MG,LSVF
343720_MG,LSVF
343724_MG,LSVF
343726_MG,LSVF
343729_MG,LSVF
343731_MG,LSVF
343734_MG,LSVF
343735_MG,LSVF
343744_MG,LSVF
343748_MG,LSVF
343749_MG,LSVF
343750_MG,LSVF
343754_MG,LSVF
343755_MG,LSVF
343759_MG,LSVF
343762_MG,LSVF
343764_MG,LSVF
343767_MG,LSVF
343768_MG,LSVF
343777_MG,LSVF
343780_MG,LSVF
343782_MG,LSVF
343783_MG,LSVF
343792_MG,LSVF
343795_MG,LSVF
343797_MG,LSVF
343801_MG,LSVF
343802_MG,LSVF
343806_MG,LSVF
343807_MG,LSVF
343808_MG,LSVF
343812_MG,LSVF
343815_MG,LSVF
343817_MG,LSVF
343820_MG,LSVF
343822_MG,LSVF
343826_MG,LSVF
343827_MG,LSVF
343830_MG,LSVF
343832_MG,LSVF
343838_MG,LSVF
343839_MG,LSVF
343845_MG,LSVF
343846_MG,LSVF
343850_MG,LSVF
343851_MG,LSVF
343853_MG,LSVF
343856_MG,LSVF
343859_MG,LSVF
343861_MG,LSVF
343862_MG,LSVF
343866_MG,LSVF
343869_MG,LSVF
343871_MG,LSVF
343875_MG,LSVF
343876_MG,LSVF
343879_MG,LSVF
343882_MG,LSVF
343884_MG,LSVF
343887_MG,LSVF
343889_MG,LSVF
343890_MG,LSVF
343895_MG,LSVF
343897_MG,LSVF
343900_MG,LSVF
343902_MG,LSVF
343904_MG,LSVF
343907_MG,LSVF
343910_MG,LSVF
343912_MG,LSVF
343914_MG,LSVF
343917_MG,LSVF
343920_MG,LSVF
343940_MG,LSVF
343944_MG,LSVF
343960_MG,LSVF
343963_MG,LSVF
343980_MG,LSVF
343982_MG,LSVF
343990_MG,LSVF
343991_MG,LSVF
343995_MG,LSVF
343999_MG,LSVF
344000_MG,LSVF
344001_MG,LSVF
344005_MG,LSVF
344009_MG,LSVF
344010_MG,LSVF
344013_MG,LSVF
344015_MG,LSVF
344019_MG,LSVF
344020_MG,LSVF
344021_MG,LSVF
344025_MG,LSVF
344027_MG,LSVF
344030_MG,LSVF
344032_MG,LSVF
344035_MG,LSVF
344038_MG,LSVF
344041_MG,LSVF
344043_MG,LSVF
344046_MG,LSVF
344048_MG,LSVF
344049_MG,LSVF
344054_MG,LSVF
344056_MG,LSVF
344059_MG,LSVF
344061_MG,LSVF
344062_MG,LSVF
344066_MG,LSVF
344070_MG,LSVF
344071_MG,LSVF
344076_MG,LSVF
344078_MG,LSVF
344081_MG,LSVF
344082_MG,LSVF
344086_MG,LSVF
344088_MG,LSVF
344091_MG,LSVF
344095_MG,LSVF
344098_MG,LSVF
344102_MG,LSVF
344105_MG,LSVF
344109_MG,LSVF
344114_MG,LSVF
344118_MG,LSVF
344119_MG,LSVF
344121_MG,LSVF
344124_MG,LSVF
344125_MG,LSVF
344129_MG,LSVF
344130_MG,LSVF
344134_MG,LSVF
344135_MG,LSVF
344139_MG,LSVF
344140_MG,LSVF
344144_MG,LSVF
344145_MG,LSVF
348298_MG,LSVF
MG_0052RFLQV1,XPENN
MG_0139RFLQV1,XPENN
MG_0183RFLQV1,XPENN
MG_0226RFLQV1,XPENN
MG_0254RFLQV1,XPENN
MG_0262RFLQV1,XPENN
MG_0269RFLQV1,XPENN
MG_0273RFLQV1,XPENN
MG_0277RFLQV1,XPENN
MG_0279RFLQV1,XPENN
MG_0283AFLQV1,XPENN
MG_0285RFLQV1,XPENN
MG_0295RFLQV1,XPENN
MG_0321RFLQV1,XPENN
MG_0325RFLQV1,XPENN
MG_0330RFLQV1,XPENN
MG_0338RFLQV1,XPENN
MG_0342RFLQV1,XPENN
MG_0345RFLQV1,XPENN
MG_0350RFLQV1,XPENN
MG_0365RFLQV1,XPENN
MG_0371RFLQV1,XPENN
MG_0383RFLQV1,XPENN
MG_0384RFLQV1,XPENN
MG_0387RFLQV1,XPENN
MG_0388RFLQV1,XPENN
MG_0400RFLQV1,XPENN
MG_0403RFLQV1,XPENN
MG_0406RFLQV1,XPENN
MG_0407RFLQV1,XPENN
MG_0411RFLQV1,XPENN
MG_0412RFLQV1,XPENN
MG_0419RFLQV1,XPENN
MG_0422RFLQV1,XPENN
MG_0426RFLQV1,XPENN
MG_0431RFLQV1,XPENN
MG_0440RFLQV1,XPENN
MG_0449RFLQV1,XPENN
MG_0450RFLQV1,XPENN
MG_0451RFLQV1,XPENN
MG_0455RFLQV1,XPENN
MG_0457RFLQV1,XPENN
MG_0462RFLQV1,XPENN
MG_0466RFLQV1,XPENN
MG_0470RFLQV1,XPENN
MG_0471RFLQV1,XPENN
MG_0481RFLQV1,XPENN
MG_0482RFLQV1,XPENN
MG_0484RFLQV1,XPENN
MG_0490RFLQV1,XPENN
MG_0491RFLQV1,XPENN
MG_0494RFLQV1,XPENN
MG_0497RFLQV1,XPENN
MG_0503RFLQV1,XPENN
MG_0505RFLQV1,XPENN
MG_0509RFLQV1,XPENN
MG_0521RFLQV1,XPENN
MG_0526RFLQV1,XPENN
MG_0532RFLQV1,XPENN
MG_0533RFLQV1,XPENN
MG_0537RFLQV1,XPENN
MG_0542RFLQV1,XPENN
MG_0545RFLQV1,XPENN
MG_0555RFLQV1,XPENN
MG_0557RFLQV1,XPENN
MG_0563RFLQV1,XPENN
MG_0573RFLQV1,XPENN
MG_0574RFLQV1,XPENN
MG_0577RFLQV1,XPENN
MG_0580RFLQV1,XPENN
MG_0600RFLQV1,XPENN
MG_0602RFLQV1,XPENN
MG_0616RFLQV1,XPENN
MG_0620RFLQV1,XPENN
MG_0624RFLQV1,XPENN
MG_0626RFLQV1,XPENN
MG_0631RFLQV1,XPENN
MG_0632RFLQV1,XPENN
MG_0633RFLQV1,XPENN
MG_0634RFLQV1,XPENN
MG_0635RFLQV1,XPENN
MG_0639RFLQV1,XPENN
MG_0642RFLQV1,XPENN
MG_0644RFLQV1,XPENN
MG_0645RFLQV1,XPENN
MG_0648RFLQV1,XPENN
MG_0650RFLQV1,XPENN
MG_0653RFLQV1,XPENN
MG_0663RFLQV1,XPENN
MG_0665RFLQV1,XPENN
MG_0671RFLQV1,XPENN
MG_0674RFLQV1,XPENN
MG_0687RFLQV1,XPENN
MG_0698RFLQV1,XPENN
MG_0699RFLQV1,XPENN
MG_0718RFLQV1,XPENN
MG_0733RFLQV1,XPENN
MG_0779RFLQV1,XPENN
MG_0787RFLQV1,XPENN
MG_0801RFLQV1,XPENN
MG_0806RFLQV1,XPENN
MG_0808RFLQV1,XPENN
MG_0818RFLQV1,XPENN
MG_0835RFLQV1,XPENN
MG_0841RFLQV1,XPENN
MG_0845RFLQV1,XPENN
MG_0846RFLQV1,XPENN
MG_0857RFLQV1,XPENN
MG_0867RFLQV1,XPENN
MG_0869RFLQV1,XPENN
MG_0879RFLQV1,XPENN
MG_0930RFLQV1,XPENN
MG_0942RFLQV1,XPENN
MG_0960RFLQV1,XPENN
MG_0962RFLQV1,XPENN
MG_0963RFLQV1,XPENN
MG_0969RFLQV1,XPENN
MG_0996RFLQV1,XPENN
MG_1005RFLQV1,XPENN
MG_1009RFLQV1,XPENN
MG_1020RFLQV1,XPENN
MG_1023RFLQV1,XPENN
MG_1024RFLQV1,XPENN
MG_1050901179,Gates-Stanford
MG_1050901209,Gates-Stanford
MG_1050901239,Gates-Stanford
MG_1050901289,Gates-Stanford
MG_1050901329,Gates-Stanford
MG_1052RFLQV1,XPENN
MG_1058RFLQV1,XPENN
MG_1060901199,Gates-Stanford
MG_1060901239,VMRC
MG_1060901269,Gates-Stanford
MG_1060901339,VMRC
MG_1061301149,Gates-Stanford
MG_1061301189,Gates-Stanford
MG_1061301229,Gates-Stanford
MG_1061301269,Gates-Stanford
MG_1061301329,Gates-Stanford
MG_1062101149,Gates-Stanford
MG_1062101189,Gates-Stanford
MG_1062101239,Gates-Stanford
MG_1062101299,Gates-Stanford
MG_1062101359,Gates-Stanford
MG_1062201159,Gates-Stanford
MG_1062201199,Gates-Stanford
MG_1062201239,Gates-Stanford
MG_1062201329,Gates-Stanford
MG_1062201379,Gates-Stanford
MG_1062501159,Gates-Stanford
MG_1062501199,Gates-Stanford
MG_1062501239,Gates-Stanford
MG_1062501279,Gates-Stanford
MG_1062501369,Gates-Stanford
MG_1063001159,Gates-Stanford
MG_1063001239,Gates-Stanford
MG_1063001279,Gates-Stanford
MG_1063001329,Gates-Stanford
MG_1063001369,Gates-Stanford
MG_1063101119,Gates-Stanford
MG_1063101199,Gates-Stanford
MG_1063101279,VMRC
MG_1063101369,Gates-Stanford
MG_1063201159,Gates-Stanford
MG_1063201209,Gates-Stanford
MG_1063201249,Gates-Stanford
MG_1063201329,Gates-Stanford
MG_1063201369,Gates-Stanford
MG_1063601119,Gates-Stanford
MG_1063601179,Gates-Stanford
MG_1063601319,Gates-Stanford
MG_1063601359,Gates-Stanford
MG_1085RFLQV1,XPENN
MG_1086RFLQV1,XPENN
MG_1116RFLQV1,XPENN
MG_112477,Gates-UMD
MG_112541,Gates-UMD
MG_112597,Gates-UMD
MG_112797,Gates-UMD
MG_112861,Gates-UMD
MG_112917,Gates-UMD
MG_113289,Gates-UMD
MG_113357,Gates-UMD
MG_113597,Gates-UMD
MG_113633,Gates-UMD
MG_113717,Gates-UMD
MG_113757,Gates-UMD
MG_113853,Gates-UMD
MG_114069,Gates-UMD
MG_114141,Gates-UMD
MG_114193,Gates-UMD
MG_114717,Gates-UMD
MG_114765,Gates-UMD
MG_114845,Gates-UMD
MG_1167RFLQV1,XPENN
MG_1213RFLQV1,XPENN
MG_1215RFLQV1,XPENN
MG_1238RPAPV1A1,XPENN
MG_1269RFLQV1,XPENN
MG_1286RFLQV1,XPENN
MG_1319RFLQV1,XPENN
MG_1327RFLQV1,XPENN
MG_1333RFLQV1,XPENN
MG_1368RFLQV1,XPENN
MG_1386RFLQV1,XPENN
MG_1392RFLQV1,XPENN
MG_1416RFLQV1,XPENN
MG_1425RFLQV1,XPENN
MG_1429RFLQV1,XPENN
MG_1430RFLQV1,XPENN
MG_1431RFLQV1,XPENN
MG_1469RFLQV1,XPENN
MG_1494RFLQV1,XPENN
MG_1540RFLQV1,XPENN
MG_1546RFLQV1,XPENN
MG_1567RFLQV1,XPENN
MG_1578RFLQV1,XPENN
MG_1588RFLQV1,XPENN
MG_1601RFLQV1,XPENN
MG_1618RFLQV1,XPENN
MG_1665RFLQV1,XPENN
MG_1696RFLQV1,XPENN
MG_1713RFLQV1,XPENN
MG_1721RFLQV1,XPENN
MG_1727RFLQV1,XPENN
MG_174564,Gates-UMD
MG_174566,Symptoms
MG_174616,Gates-UMD
MG_174631b,Symptoms
MG_174708,Gates-UMD
MG_174722,Symptoms
MG_174738,Symptoms
MG_174758,Symptoms
MG_174947,Symptoms
MG_174962,Symptoms
MG_174970,Symptoms
MG_174982,Symptoms
MG_175034,Symptoms
MG_175058,Symptoms
MG_175074,Symptoms
MG_175228,Gates-UMD
MG_175260,Gates-UMD
MG_175318,Symptoms
MG_175332,Gates-UMD
MG_175334b,Symptoms
MG_175380,Gates-UMD
MG_175390,Symptoms
MG_175414,Symptoms
MG_175443,Symptoms
MG_175476,Gates-UMD
MG_175831b,Symptoms
MG_175836,Gates-UMD
MG_175878,Symptoms
MG_175896,Gates-UMD
MG_175980,Gates-UMD
MG_176020,Gates-UMD
MG_176076,Gates-UMD
MG_176094,Symptoms
MG_176118,Symptoms
MG_176138,Symptoms
MG_176541,Symptoms
